domestic,work,public,commercial,delivery,workshop,factory
7.811689617240016e-05,5.4495811792967814e-05,5.4495811792967814e-05,6.0862062993523695e-05,5.4495811792967814e-05,6.347744496754897e-05,9.288456172662599e-05
6.146903305369191e-05,5.709085044977581e-05,5.709085044977581e-05,7.700604732430891e-05,5.709085044977581e-05,6.0756983040368304e-05,8.975775469820493e-05
5.5066008777265675e-05,5.597869102542953e-05,5.597869102542953e-05,7.276161951903205e-05,5.597869102542953e-05,5.9260728980418935e-05,8.770825093167684e-05
5.250479906669518e-05,5.5607971217314096e-05,5.5607971217314096e-05,6.692553128677636e-05,5.5607971217314096e-05,5.848993143438441e-05,8.734039128127435e-05
5.250479906669518e-05,5.7832290066006667e-05,5.7832290066006667e-05,6.86687784210865e-05,5.7832290066006667e-05,5.762845182411053e-05,8.744549403853221e-05
5.8907823343121414e-05,6.191020795527637e-05,6.191020795527637e-05,6.753187811610163e-05,6.191020795527637e-05,6.492835799537866e-05,9.023071710586527e-05
8.964233986996737e-05,7.933403893670143e-05,7.933403893670143e-05,8.344848238588988e-05,7.933403893670143e-05,8.460636593531884e-05,9.813969958951858e-05
0.00014726955835780354,0.00011900105840505216,0.00011900105840505216,0.00014772124629436822,0.00011900105840505216,0.00013108092385798862,0.00011390511317819625
0.00015239197777894455,0.00019277430022002218,0.00019277430022002218,0.00027588780734299654,0.00019277430022002218,0.00021935991339500137,0.00013277105810598054
0.00013062169523909533,0.0002709961797323774,0.0002709961797323774,0.0003320506824092494,0.0002709961797323774,0.00026832822808425344,0.0001432550581424512
0.00012421867096266907,0.0002876785710975716,0.0002876785710975716,0.0003371288371048485,0.0002876785710975716,0.000273315741617418,0.00014653951930675905
0.00012037685639681333,0.0002913857691787259,0.0002913857691787259,0.0003456934860690679,0.0002913857691787259,0.0002749480187737264,0.0001496926020244946
0.00012549927581795433,0.0002832299334001865,0.0002832299334001865,0.0003284126014332978,0.0002832299334001865,0.0002701872104011602,0.0001502443915000983
0.00011781564668624283,0.0002635817835700688,0.0002635817835700688,0.000314618211066148,0.0002635817835700688,0.000265154355835876,0.00014895688272368964
0.00011525443697567235,0.0002617281845294917,0.0002617281845294917,0.00030605356210192857,0.0002617281845294917,0.00026261525803717404,0.0001453045619089793
0.00012806048552852482,0.0002535723487509523,0.0002535723487509523,0.00028399769618522196,0.0002535723487509523,0.0002559954673477011,0.0001429134741813632
0.00018184588945050525,0.00023688995738575805,0.00023688995738575805,0.00024359983868142606,0.00023688995738575805,0.0002362721183756412,0.0001442535343364008
0.00023178947880662994,0.00017757478808728969,0.00017757478808728969,0.00015681644873424719,0.00017757478808728969,0.00018077469506115552,0.00014370174486079708
0.00023435068851720045,0.00011603529994012875,0.00011603529994012875,0.0001017904739729792,0.00011603529994012875,0.00011113086972533037,0.0001409953488614074
0.0002202640351090627,0.0001004650679992808,0.0001004650679992808,8.246316878823632e-05,0.0001004650679992808,8.020828581971008e-05,0.00013813129872613096
0.00020233556713506923,8.860203413958712e-05,8.860203413958712e-05,6.813822494542689e-05,8.860203413958712e-05,7.145746662061227e-05,0.00013001211072796194
0.000190810123437502,7.562684085554718e-05,7.562684085554718e-05,6.086206299352368e-05,7.562684085554718e-05,6.733143269772159e-05,0.00012276002047717022
0.0001613562117659413,6.63588456526615e-05,6.63588456526615e-05,5.73755687249034e-05,6.63588456526615e-05,6.501904005961801e-05,0.00011245995026590079
0.00011525443697567233,5.9685889106583796e-05,5.9685889106583796e-05,5.297955421229521e-05,5.9685889106583796e-05,6.356812703178833e-05,0.00010336856176309668
7.811689617240016e-05,5.4495811792967814e-05,5.4495811792967814e-05,6.0862062993523695e-05,5.4495811792967814e-05,6.347744496754897e-05,9.288456172662599e-05
6.146903305369191e-05,5.709085044977581e-05,5.709085044977581e-05,7.700604732430891e-05,5.709085044977581e-05,6.0756983040368304e-05,8.975775469820493e-05
5.5066008777265675e-05,5.597869102542953e-05,5.597869102542953e-05,7.276161951903205e-05,5.597869102542953e-05,5.9260728980418935e-05,8.770825093167684e-05
5.250479906669518e-05,5.5607971217314096e-05,5.5607971217314096e-05,6.692553128677636e-05,5.5607971217314096e-05,5.848993143438441e-05,8.734039128127435e-05
5.250479906669518e-05,5.7832290066006667e-05,5.7832290066006667e-05,6.86687784210865e-05,5.7832290066006667e-05,5.762845182411053e-05,8.744549403853221e-05
5.8907823343121414e-05,6.191020795527637e-05,6.191020795527637e-05,6.753187811610163e-05,6.191020795527637e-05,6.492835799537866e-05,9.023071710586527e-05
8.964233986996737e-05,7.933403893670143e-05,7.933403893670143e-05,8.344848238588988e-05,7.933403893670143e-05,8.460636593531884e-05,9.813969958951858e-05
