7.11e-15, 0.160
7.11e-15, 0.166
7.11e-15, 0.154
7.11e-15, 0.141
7.11e-15, 0.135
7.11e-15, 0.130
0.187, 0.210
0.187, 0.198
0.187, 0.191
0.187, 0.148
0.187, 0.185
0.187, 0.179
0.187, 0.204
0.187, 0.226
0.262, 0.218
0.281, 0.172
0.374, 0.262
0.374, 0.256
0.374, 0.243
0.374, 0.237
0.374, 0.231
0.561, 0.305
0.561, 0.286
0.561, 0.250
0.561, 0.280
0.561, 0.274
0.561, 0.268
0.561, 0.299
0.561, 0.292
0.636, 0.313
0.748, 0.360
0.748, 0.348
0.748, 0.341
0.748, 0.335
0.748, 0.329
0.748, 0.323
0.936, 0.353
0.936, 0.391
1.12, 0.378
1.16, 0.385
1.37, 0.365
1.43, 0.371
3.68, 0.368
3.93, 0.383
4.14, 0.376
5.13, 0.351
5.13, 0.363
5.24, 0.341
5.33, 0.327
5.43, 0.334
6.03, 0.288
6.17, 0.314
6.17, 0.320
6.17, 0.295
6.17, 0.301
6.17, 0.308
6.62, 0.261
6.74, 0.273
6.74, 0.267
6.74, 0.241
6.92, 0.221
6.92, 0.234
6.92, 0.248
6.92, 0.226
6.99, 0.280
6.99, 0.254
7.67, 0.297
7.67, 0.309
7.67, 0.291
7.86, 0.319
7.86, 0.313
7.86, 0.302
7.86, 0.332
7.86, 0.338
7.86, 0.344
7.86, 0.325
8.20, 0.357
8.61, 0.352
10.2, 0.355
11.4, 0.366
11.6, 0.372
12.3, 0.350
12.3, 0.343
12.4, 0.358
12.4, 0.336
13.3, 0.302
13.3, 0.321
13.3, 0.315
13.3, 0.308
13.4, 0.330
13.7, 0.274
13.7, 0.248
13.8, 0.255
13.8, 0.280
13.8, 0.267
13.8, 0.261
13.9, 0.286
13.9, 0.225
14.0, 0.231
14.1, 0.293
14.1, 0.240
14.8, 0.327
14.8, 0.321
14.8, 0.314
14.8, 0.308
14.8, 0.302
14.8, 0.340
14.9, 0.349
15.0, 0.358
15.0, 0.332
15.7, 0.365
18.2, 0.363
19.0, 0.371
19.3, 0.354
19.3, 0.361
19.5, 0.335
19.5, 0.347
19.5, 0.341
19.6, 0.328
20.4, 0.300
20.6, 0.306
20.6, 0.312
20.6, 0.278
20.7, 0.321
20.8, 0.284
20.8, 0.292
21.0, 0.243
21.0, 0.262
21.0, 0.256
21.0, 0.270
21.0, 0.250
21.7, 0.348
21.7, 0.342
21.7, 0.336
21.7, 0.329
21.7, 0.360
21.9, 0.353
21.9, 0.322
21.9, 0.313
21.9, 0.301
21.9, 0.366
22.3, 0.383
22.3, 0.376
24.2, 0.377
25.1, 0.394
25.2, 0.386
26.2, 0.356
26.2, 0.362
26.2, 0.368
26.3, 0.376
26.4, 0.344
26.4, 0.385
26.4, 0.350
26.6, 0.336
26.7, 0.302
27.1, 0.320
27.1, 0.314
